CONDITION,条件。用来描述输出结果是否符合预期的条件，可以是单一的、也可以是组合的.例如：X>3A。
CONSTRAINT,限制占位符。在使用特定精度的供电仪器所需要的限制，用来精确标记所使用的仪器。
CURRENT_PARAM,电流参数占位符，用于表示特定电流表达式。
OUT,输出结果占位符。使用英文和数字的混合方式来标记一次数据的输出结果。
PORT_HIGH,高位端口占位符。
PORT_LOW,低位端口占位符。
POWER_PARAM,功率参数占位符，表示特定功率参数的表达式，例如：28VA，28W。
RESISTANCE_PARAM,电阻参数占位符，表示电阻阻值大小的表达式，例如：3Ω。
SIGNAL_PARAM,信号参数占位符，表示信号的表达式，例如：2µV，126.975MHz，30%调制度。
TIME_PARAM,时间参数占位符，表示时间，例如：1s。
VOLTAGE_PARAM,电压参数占位符，表示电压的表达式，例如：5V。
。,句号表示一句话的结束，新一句话的开始，提示读者该句的表达意思已结束。
上,上，介词
且,并且，表示两个条件并列
为,为是一个汉字，是多音字，一般表示做、作为，指为某人做某事，有时也表被动。
从,从，介词
信号,信号是表示消息的物理量，如电信号可以通过幅度、频率、相位的变化来表示不同的消息。
内,内表示在一定的范围内。
到,到
功率,功率是指物体在单位时间内所做的功的多少，即功率是描述做功快慢的物理量。
参数,参数，也叫参变量，是一个变量。我们在研究当前问题的时候，关心某几个变量的变化以及它们之间的相互关系，其中有一个或一些叫自变量，另一个或另一些叫因变量。如果我们引入一个或一些另外的变量来描述自变量与因变量的变化，引入的变量本来并不是当前问题必须研究的变量，我们把这样的变量叫做参变量或参。
发送,发送动作
否则,表示转折。
在,一个表示动作、情状所涉及的场所、时间、范围等的介词。
布尔信号,布尔信号指真或者假相关的二义信号。
得到,获得，取到
手工,区别与“自动”，表示需要人为的干预方式来完成。
控制仪,控制仪（英文名称：controller）是指按照预定顺序改变主电路或控制电路的接线和改变电路中电阻值来控制电动机的启动、调速、制动和反向的主令装置。由程序计数器、指令寄存器、指令译码器、时序产生器和操作控制器组成，它是发布命令的“决策机构”，即完成协调和指挥整个计算机系统的操作。
时间,时间是一个较为抽象的概念，是物质的运动、变化的持续性、顺序性的表现。时间概念包含时刻和时段两个概念。时间是人类用以描述物质运动过程或事件发生过程的一个参数，确定时间，是靠不受外界影响的物质周期变化的规律。
暂停,指暂时停止。
测量,测量动作
测量值,测量值=准确值+估计值，测量值是由数字和单位组成，测量值的倒数第二位是准确值，最末一位是估计值。
满足,满足
电压,电压也称作电势差或电位差，是衡量单位电荷在静电场中由于电势不同所产生的能量差的物理量。其大小等于单位正电荷因受电场力作用从A点移动到B点所做的功，电压的方向规定为从高电位指向低电位的方向。
电流,科学上把单位时间里通过导体任一横截面的电量叫做电流强度，简称电流。
电阻,电阻是一个物理量，在物理学中表示导体对电流阻碍作用的大小。
的,的是一个汉语汉字，其居现代汉语使用量之首，有着漫长的演变史。用在定语的后面，也可以用在主谓短语中间，现代汉语56008个常用词 “的”字用最多的一个字。
监控,监控动作，表示对物理设备参数的监控。
确认,确认动作，等待用户确认条件。
移除,移除动作
端口,端口是英文port的意译，可以认为是设备与外界通讯交流的出口。
等待,等待动作，等待用户输入。
系统,系统
脉冲信号,脉冲信号指飞行仪器中发出的脉冲信号。
角度信号,角度信号指表示飞行仪俯仰角度的相关信号。
调试,编好程序后，用各种手段进行查错和排错的过程。作为程序的正确性不仅仅表现在正常功能的完成上，更重要的是对意外情况的正确处理。从心理学的角度考虑，开发人员和调试人员不应该是同一个人。
跳过,该动作直接完成，忽略错误直接执行后面的步骤。
通路,在闭合电路中，从电源正极流出，经过用电器，返回负极，形成完整的回路，称之为通路，也叫做闭合电路。
频率信号,频率信号指飞机中涉及的频率相关信号。
，,逗号把句子切分为意群，表示小于分号大于顿号的停顿。
